-15 0.0000000000
-14 0.0000000000
-13 0.0001027961
-12 0.0002055921
-11 0.0013363487
-10 0.0024671053
-9 0.0077097039
-8 0.0129523026
-7 0.0233347039
-6 0.0337171053
-5 0.0480057566
-4 0.0622944079
-3 0.0755550987
-2 0.0888157895
-1 0.0939555921
0 0.0990953947
1 0.0939555921
2 0.0888157895
3 0.0755550987
4 0.0622944079
5 0.0480057566
6 0.0337171053
7 0.0233347039
8 0.0129523026
9 0.0077097039
10 0.0024671053
11 0.0013363487
12 0.0002055921
13 0.0001027961
14 0.0000000000
15 0.0000000000
